,Date,Open,High,Low,Close,Volume,Market Cap(USD)
299,2018-05-27,1011.78032999,1011.78032999,984.1394627,998.72285593,49622.11828442,49558743.69043658
298,2018-05-26,1015.59159453,1045.73892227,1000.68007549,1010.34431222,41614.90019845,42045377.7190673
297,2018-05-25,1074.07432492,1074.07432492,993.5364424,1015.56621724,80807.37026558,82065235.34567246
296,2018-05-24,996.47263451,1078.63090096,952.63098958,1064.46460524,103597.27878333,110275636.46398424
295,2018-05-23,1139.52965842,1155.71511543,974.20578526,1003.96839175,136597.96258106,137140036.80866364
294,2018-05-22,1230.64648051,1230.98747516,1132.9393961,1141.54568152,74516.42379288,85063901.78333364
293,2018-05-21,1289.72353073,1295.33339284,1215.40901565,1228.33432899,50399.3419255,61907241.84573776
292,2018-05-20,1180.28842904,1305.90561344,1173.78697283,1292.09536024,76649.22510076,99038108.11903992
291,2018-05-19,1202.45228796,1210.24357852,1153.92253744,1180.09409956,39729.83270805,46884941.15538491
290,2018-05-18,1195.57799852,1217.1773519,1141.57012813,1204.57561947,91646.52081276,110395164.58007772
289,2018-05-17,1280.82561265,1336.03116704,1180.16087223,1205.14877992,85096.73596733,102554227.5261857
288,2018-05-16,1340.71279893,1355.85305529,1237.35151812,1282.65209684,104321.44921336,133808125.5786512
287,2018-05-15,1412.59128003,1449.12389152,1322.68571413,1341.66896935,98067.28854532,131573837.94950639
286,2018-05-14,1480.43623061,1485.72130627,1334.65209128,1419.55763803,115105.20799784,163398477.18996185
285,2018-05-13,1460.94302106,1495.68184486,1408.94923258,1471.06935748,74459.4094149,109534955.56645238
284,2018-05-12,1369.45613632,1503.74451268,1279.8887876,1462.45340204,136657.44808354,199855149.86342347
283,2018-05-11,1525.84747523,1555.80377527,1324.56270334,1364.53404968,176209.43024238,240443767.44074163
282,2018-05-10,1625.44560837,1662.3740827,1522.31358172,1522.31358172,90213.69791678,137333537.5957308
281,2018-05-09,1600.16828306,1665.29995974,1471.03400773,1626.56206548,101483.89268447,165069850.0981988
280,2018-05-08,1651.48241324,1692.67602438,1554.19284208,1603.7859934,82336.49988708,132050125.26409954
279,2018-05-07,1754.02939153,1774.69749759,1575.95387344,1650.23917374,111823.87859155,184536145.01141977
278,2018-05-06,1756.41239666,1835.11795371,1650.24044019,1755.75054823,138029.27018328,242344966.7963679
277,2018-05-05,1513.468018,1752.64248938,1511.25053013,1752.64248938,118186.90001163,207139382.64819795
276,2018-05-04,1505.77149802,1532.96508485,1465.44135981,1514.65494262,72888.99268359,110401673.03106675
275,2018-05-03,1457.79833457,1534.91514537,1450.51270626,1506.78122784,114569.10425009,172630575.57474047
274,2018-05-02,1350.69077306,1480.61652381,1328.38606246,1457.17900559,102555.73797727,149442068.28312114
273,2018-05-01,1350.80146131,1355.81032959,1257.1162794,1355.81032959,75553.94046562,102436812.92445149
272,2018-04-30,1440.51546721,1442.64567704,1340.79022647,1348.51913629,54631.27410868,73671318.57565686
271,2018-04-29,1391.57261409,1476.33927446,1375.46553312,1440.26245055,86779.59028025,124985385.35483237
270,2018-04-28,1335.18284982,1412.82376455,1334.66512078,1392.43476116,61442.23152434,85554298.97765084
269,2018-04-27,1419.96488311,1419.96488311,1339.74445889,1344.11000774,93914.41154909,126231300.4345756
268,2018-04-26,1289.48190421,1417.30617997,1250.66314513,1416.51463162,125517.69570668,177797652.49573514
267,2018-04-25,1406.70373714,1429.32113932,1233.88765815,1275.66529889,281484.53060798,359080047.8708038
266,2018-04-24,1440.39601953,1568.26102937,1395.70248117,1412.73853936,240899.89113543,340328560.3338946
265,2018-04-23,1195.62164782,1446.40883861,1195.25683861,1429.67618975,221723.89573093,316993374.4257092
264,2018-04-22,1153.99004146,1252.39358657,1114.62100769,1195.52092613,122363.48088228,146288101.9890825
263,2018-04-21,1123.69932151,1180.5169587,1019.60686409,1151.44906792,138764.12829691,159779826.18760443
262,2018-04-20,964.25531428,1138.60473736,947.56915502,1124.12686933,147410.9391085,165708597.48494396
261,2018-04-19,893.13309539,977.11486003,879.24951063,965.51462341,94555.05502153,91294288.3410824
260,2018-04-18,758.28179876,898.35283051,758.28179876,892.55794222,94976.71183893,84772218.47749327
259,2018-04-17,765.46833485,782.62674684,755.02817349,758.17893424,42968.65670322,32577930.34487986
258,2018-04-16,780.41980097,795.24906683,746.23091743,764.46720808,52616.7524578,40223781.84942095
257,2018-04-15,735.28151373,784.51954451,735.28151373,780.03074059,43122.58763686,33636943.97044675
256,2018-04-14,742.72166275,759.47699002,724.862627,735.33748736,38632.3219324,28407794.54047236
255,2018-04-13,734.47455559,781.6747763,720.99662685,742.72117218,69936.70448513,51943471.13382614
254,2018-04-12,664.66110199,733.92428,661.30094823,733.92428,87409.64591806,64152061.44532906
253,2018-04-11,651.79190476,664.64724585,651.63099858,664.64724585,39547.16038981,26284911.23417018
252,2018-04-10,638.61439623,654.4110812,631.1791153,651.70784605,32027.23410896,20872399.75617036
251,2018-04-09,654.03402604,675.97895277,631.15614233,638.89699206,40790.87569456,26061167.78461226
250,2018-04-08,643.4752459,657.42844168,643.4752459,652.90241413,26566.10473,17345073.91211914
249,2018-04-07,615.78097399,651.48909696,615.78097399,642.98384389,42206.61412575,27138170.98809058
248,2018-04-06,641.39026554,645.18670589,610.66307343,615.61202239,49413.4566591,30419517.98735298
